ID_Number,Menu_Number,Seq_Number,Title,Text
148,1,5,"Script Variables","Prime Script Variables
%owner%
%title% = Name of the cache
%wptid% = Waypoint ID
%coords% = Coordinates of the cache
%vdistmi% = Distance between home coordinates and cache in miles, rounded to nearest 5 mile increment
%vdistkm% = Distance between home coordinates and cache in kilometers, rounded to nearest 5 km increment
%nctitle% = Name of the cache the owner's cache is too near.
%ncwptid% = Waypoint ID of the cache the owner's cache is too near.
%ncdistft% = Distance between the two caches in feet, rounded to the nearest 5 foot increment.
%ncdistm% = Distance between the two caches in meters (not rounded)."
149,1,6,"admin page","www.geocaching.com/admin/review.aspx?wp=[GCCode]"
151,5,6,"waypoint conversion address gc","http://www.geocaching.com/wpt/"
152,0,10,"near homes","
Hello [username]


Thanks for adding to the fun with a new cache. 

your cache is in a residential neighborhood, quite visible to residents. 
Did you speak with the homeowners nearby? do they know that there will be strangers driving into the neighborhood, parking oddly  and spending time practically in their front yard? Caches adjacent to private residences can be problematic.   It makes the homeowner unhappy to have this unexpected activity so near.

Making people uncomfortable in their own homes is not an acceptable consequence of playing the game of geocaching.  

This can have unhappy consequences for seekers if  police are called on geocachers. A common response of unknowing homeowners is to assume some kind of drug drop (yes, this is utterly inane, because of course drug dealers leave unattended product in random drop spots for others to pick up and NOT pay for ;-)

Telling them that a scavenger hunt item has been placed there will usually take care of this. Though sometimes their response will be to remove the cache. There's not much you can do about this, but at least you'll have tried. 

I have this cache on HOLD and on watch. Please respond with a new reviewer note. 
A reviewer note is a type of log to the cache page. 

Nothing will happen here until you post a new reviewer note.  If you need a few days to find the time to go speak with them, just tell me that. I'll want to see another note when they've been informed. 

**Alternately, and frankly better, find a new place for this.** 

[Select an appropriate location and container](http://www.geocaching.com/about/guidelines.aspx#commonsense)

Select an appropriate location and container. Think about how your container and the actions of geocachers seeking it will be perceived by the public. Although your cache will be hidden with landowner or land manager permission, concerned passersby who are unaware of geocaching, may view people searching the property as suspicious...use common sense when selecting hiding places and containers."
154,6,8,"scout caches","""I'm trying to get a troop of Girl Scouts to each make a cache and hide it on our field trips"".

My experience is that scouts will not be able to maintain caches set on field trips. Please don't ask them to hide caches that they cannot be responsible for. Even if you are willing to maintain them, it seems to me that part of what they could enjoy and benefit from in cache ownership, is accepting the responsibility for the cache.

Until recently, I'd not seen a scout placed cache that was maintained by its owner. *
I've disabled them when they went missing, after being contacted by frustrated cachers. I've archived them when after many months they weren't repaired or replaced. I bookmark scout owned caches, knowing that the listing maintenance is probably going to be done by me (and the physical cache maintenance isn't going to be done at all).

*Recently, in south Florida, a BSA troop hid caches within walking range of the scouts. The boys can and are being responsible for the ownership of these hides.
"
156,0,13,"south at 28.10","http://www.geocaching.com/admin/queue.aspx?stateid=10&frl=24.5&tol=28.1670&ltype=lat&bc=khaki&pagesize=all"
157,0,14,"no change coords update ","It appears that you tried to update the coordinates. 

When you post Update coordinates, the original cache coordinates appear in boxes below the text pane. 
You MUST edit the coords in those boxes to the  the new coords.Typing them into the text box is just text in a log. 

Try it again, thanks. 
You can delete this log. "
158,1,7,"agenda","Hi {username}

Your cache page reads as a solicitation; it promotes {whatever}. {If relevant>>>} In general, a cache owner crosses the agenda line when they tell visitors what to do, feel, or think when they are at the location.
http://www.geocaching.com/about/guidelines.aspx#solicitation

From the guidelines, ""caches perceived to be posted for religious, political, charitable or social agendas are not permitted. Geocaching is supposed to be a light, fun activity, not a platform for an agenda"", 

Groundspeak provides a cache listing service with the expectation that cache pages will be about the cache, with perhaps some information about the history or features of the location. Geocaching.com does not allow caches to be used as a tribute, or to honor any group or organization (the military, the Susan G. Komen Foundation, Mothers Against Drunk Driving, etc.).

If you choose to re-write your page to meet the guidelines listed above, I can review your page for publication. {Possibly some specifics here: please remove the following, ""support, give generously, etc"" } I'm going to disable the cache pending edits. (disable with a how to edit, how to enable note)

If you want to pursue publication of the cache as currently written, enable the cache without edits, and tell me that in a new reviewer note.
The cache will need to be reviewed by Geocaching.com staff for an exception to the listing guidelines by using appeals. I can help you with that process. {Ie, archive the cache, provide the appeals@geocaching.com email addy - wiki article appeals }
"
159,10,0,"view of random venting","10/11/10 views 7,154"
160,0,4,"disable, minor edits","I'm temporarily disabling this cache, this takes it off the review queue. Please see my Reviewer Note  for more information
 
When you've had a chance to edit the cache page. Submit for Review again! 

1) EDIT You'll find the ""edit listing"" link in the note at the top of the cache page. It will take you to the cache edit form. After editing, be sure to scroll to the bottom of the form and check the Submit Changes button and the ""Yes, I have read...."" button. 

2) Then you MUST  click one of the ""Submit for Review"" buttons. From the eidt form, you can save, or save and preview,  before submitting again, if you want to check the cache page appearance.  

I will archive the listing in a month if it doesn't get published. 

Thank you, 
palmetto 
 volunteer cache reviewer

"
162,0,15,"back of business","I no longer publish caches on the back of businesses where there is no parking, or expectation of public access. There have been too many unpleasant geocacher encounters with security and police. 

Please provide the name and contact information of the person granting permission for this cache in a new reviewer note. "
163,5,7,"BoJaB [posts","http://forums.groundspeak.com/REV/index.php?act=Search&CODE=getalluser&mid=752156"
164,5,8,"miami county line 25 58","miami county line 25 58"
165,5,9,"&f=1 end of URL -archived","&f=1 "
191,4,11,"finds counts by Jeremylate2010","MissJenn> Jeremy shared on facebook this stat: The medium number of cache find for an active account on Geocaching.com (last 90 days) is 34. That 34 is really low, isn’t it? I was a little surprised. I thought it would be at least a 3-digit number. 1/04/2011 facebook link needs login

http://forums.groundspeak.com/REV/index.php?showtopic=13199&pid=156548&st=0&#entry156548"
255,13,5," old search page","http://www.geocaching.com/seek/nearest.aspx?country_id=0"
262,13,8,"GC Code Widget ","http://www.geocaching.com/my/recentlyviewedcaches.aspx"
263,7,7,"homeowner upset ","http://forums.groundspeak.com/GC/index.php?showtopic=331295"
274,9,0,"world domination Jeremy ","http://forums.groundspeak.com/GC/index.php?showtopic=77126&view=findpost&p=1147188"
276,13,10,"PQ page ","http://www.geocaching.com/pocket/"
278,1,16,"Planning Map","The text above that map says. ""The map below displays visible locations that are already taken by existing geocaches. The map does not display hidden waypoints...""

It cannot show the finals of Multi-caches or Mystery caches, as that would provide an easy method to work out where they are - skip actually working the Multi or the Mystery and instead do some triangulation on the planning map. ;-)

"
279,15,12,"playing with formatting ",">     quote goes here center'd but if you create each line exactly long enough 
    can create a not so centered loook byt tu'ssl be a paind in the rear and, some care will need to be taken especially to have enough text t center 3  this is the  less than diacritic followed by a TAB to clear the bold green, quote marks thing. Still center justified though.. renderng it stoopid, unless you're writing poetry? "
282,10,5,"bryan on challenges ","http://forums.groundspeak.com/REV/index.php?showtopic=15433&view=findpost&p=188768

includes my definition of a challenge "
283,0,22,"bad coords ","Thanks for adding to the fun with a new cache. 

Your coordinates are {place}. This is not match for your description. 


You can see your coords as a pushpin on the maps on your cache page (EXCEPT for the first, Geocaching.com map, which does not show your unpublished cache).  The map links are below the hints field, under the heading, ""for online maps..."" 
The third, Google map link works well. 

Check that map link to see what I'm seeing.  You need to get better coordinates for the cache, and edit the listing to those coordinates.  Here's a link to the Help Center article on getting [accurate coords](http://support.groundspeak.com/index.php?pg=kb.page&id=673)

I'm going to disable this listing with my standard minor edits note. That log will explain how to proceed. "
284,0,23,"throwdown, disable ","Hello Cache Owner, your cache went missing, and someone put out a [throwdown](https://www.geocaching.com/help/index.php?pg=kb.chapter&id=38&pgid=427). 
You can accept that if you want to, but you need to edit the cache page to match their fake find cache. 

In the next month, please check the cache and repair, replace,  move, or edit the cache page as needed. 
Then: 

* Enable the listing
* Post an Owner Maintenance log to remove the Needs Maintenance attribute icon if present
* If necessary, use an ""Update coordinates"" log to edit the cache coords. 

Archive the listing if you no longer wish to own it.  
Archive, Enable, Owner Maintenance and Update Coordinates are all log types available to cache owners.







"
166,5,10,"download agreement","http://www.geocaching.com/software/agreement.aspx?ID=0"
167,2,7,"download disclarmer ","When a cache requires a download, Groundspeak asks that a disclaimer be added to the page. 

http://www.geocaching.com/about/guidelines.aspx#thirdpartycontent

Here's a slighly shorter version of the disclaimer: 

""Alert: You are about to download a file that contains further details needed to find this geocache. As the cache owner, I represent that this file is safe to download although it has not been checked by Groundspeak or by the reviewer for possible malicious content. Download this file at your own risk. [insert link here]"""
168,6,9,"sort by favorites ","http://www.geocaching.com/seek/nearest.aspx?state_id=10&sortdir=desc&sort=fav"
176,8,2,"10 days in advance ","http://support.groundspeak.com/index.php?pg=kb.page&id=307#submit

I'll work on these as time permits, with the idea of having them published as group for next weekend. Thanks for your understanding. "
178,8,3,"buried ","http://support.groundspeak.com/index.php?pg=kb.page&id=304#buried"
179,8,4,"deface","http://support.groundspeak.com/index.php?pg=kb.page&id=304#damage"
180,8,5,"schoolMilitary (specific) ","http://support.groundspeak.com/index.php?pg=kb.page&id=304#schoolmilitary"
182,8,0,"Off limits ","http://support.groundspeak.com/index.php?pg=kb.page&id=306"
183,8,6,"accurate  coords + downloads","http://support.groundspeak.com/index.php?pg=kb.page&id=307#technical"
185,8,1,"solicit","http://support.groundspeak.com/index.php?pg=kb.page&id=307#solicit"
186,8,7,"permanence","http://support.groundspeak.com/index.php?pg=kb.page&id=307#perm"
189,0,0,"update","Any update on this? 

If you plan to replace or repair this cache, please let the geocaching community know by new log on the cache page.
 If you have decided not to replace the cache please archive the listing. 

If there is no response by new log on the cache page  in the next several weeks ,I'll assume you are inactive and will archive the cache.

Thank you"
190,10,1,"Logs publish archvie ","www.geocaching.com/my/logs.aspx?s=1&lt=24
publish

www.geocaching.com/my/logs.aspx?s=1&lt=5
archive "
193,1,8,"blocking unpublished cache","Hello  User

Someone has submitted a cache for publication rather near the coords this is holding:
{  } 
I see this disabled cache on proximity checks. 

You can hold the spot, blocking the new cache that's ready for publication, but only if you respond to this reviewer note with a new reviewer note of your own telling me that 
1) you want to hold the coords above, and 
2) you'll have the cache ready for publication soon. 

If I don't hear from you in 3 weeks, I'll archive this listing and publish the other cache. 

Please respond with a new reviewer note to this cache page (a log), not email to me,  thanks. "
194,5,11,"log queue NA FL","http://www.geocaching.com/admin/lqueue.aspx?stateid=10"
195,0,16,"distance between 2 sets of coords","http://boulter.com/gps/distance"
196,5,12,"distance between coords","http://boulter.com/gps/distance/"
197,7,5,"Jeremy end Challenge caches?","http://forums.groundspeak.com/GC/index.php?showtopic=279441&view=findpost&p=4802458"
198,1,9,"schools","You cache would seem to be adjacent to a school. Caches near schools are off-limits. 

http://www.geocaching.com/about/guidelines.aspx#restrictedareas
and  http://support.groundspeak.com/index.php?pg=kb.page&id=306


[quote]....Cache is problematic due to its proximity to a public structure including and not limited to highway bridges, dams, government buildings, military bases, schools, hospitals, airports and other such locations.[/quote]"
199,10,2," challenges FAQ","http://www.geocaching.com/challenges/faq.aspx"
200,10,3,"GSP challenge as temp event cache","http://www.geocaching.com/challenges/view.aspx?cx=CX274"
202,11,0,"bob's south queue Miami","http://www.geocaching.com/admin/queue.aspx?stateid=10&frl=24.5&tol=26.50&ltype=lat&bc=D0EEFD"
203,11,1,"bob's further north ","http://www.geocaching.com/admin/queue.aspx?stateid=10&frl=24.5&tol=27.50&ltype=lat&bc=D0EEFD
"
204,11,2,"megs from Bob south to bojab","http://www.geocaching.com/admin/queue.aspx?stateid=10&frl=26.5&tol=28.1670&ltype=lat&bc=87CEFA"
208,10,4,"road side power trail note ","I'm sorry, I'm not publishing any more of these long roadside powertrails, unless you want to seek explicit permission for it. 

[URL of geocache map of area]

This many caches strung along roads starts to really strain the notion that ""no permission"" = ""adequate permission"". They tend to get noticed by local law enforcement, and not in a good way. 

Currently there are 3 states where the state DOT has contacted Groundspeak and requested that NO caches be placed on any part of any road right-of-way. Florida could easily be next on that list. Not only does those mean no guardrails, it means no signs, no caches at historical markers, no caches at rest stops, no caches at bridge overlooks, or fishing holes on the side of the road....it makes a big hole in where caches get placed. 

[I'll confess here that if you hadn't named it GRIM I might have missed it that it attaches the existing run and published it. I mention this because I suspect it happens, ie, ]I [may be] publishing caches that build on existing long runs. I don't generally open the Geocaching.com google map to see that. 

Please don't take this personally, I'm not picking on you. I've been making this distinction about roadside powertrails for a while, and probably should have started sooner - ie, capped GRIM and other long roadside series a lot sooner and a lot shorter.  

People email me about the bad stuff that happens when they cache - in the case of the South FL GRIM caches, it's apparent that local law enforcement knows about them, and is less then pleased.

I'm not going to pretend that I believe that anyone is getting permission for these. I can't believe any more that ""no permission"" is adequate. I think the whole thing has the potential to be a disaster for geocaching in Florida. 

RE actually getting permission - I honestly don't know what is possible. I wouldn't try it myself. I've seen 2 different DOT responses:
1) don't ask, don't tell - ie, if you ask they say no, because they think that giving permission creates liability for them - but theyknow about geocaching, and mostly ignore geocaches as long as the caches don't create an issue 

2) absolutely not, it's illegal, with reference to state law about modifying road structures, and littering laws

What I haven't seen is real permission from anyone who actually had the authority to grant it. 


http://www.geocaching.com/about/guidelines.aspx

All local laws apply.....
    Obtain the landowner's and/or land manager's permission before you hide any geocache, whether placed on private or public property. By submitting a geocache listing, you assure us that you have adequate permission to hide your cache in the selected location."
209,12,0,"all caches on one page URL","append   &pagesize=all"
210,8,8,"challenge article ","http://support.groundspeak.com/index.php?pg=kb.page&id=206"
256,0,21,"remove boat attribute ","I took the liberty of removing the ""boat REQUIRED"" attribute from your cache page so i could publish it. 

I appreciate that the current cache report system doesn't make this clear, it just shows a boat symbol and just says, ""boat"". People think this means boating available, like restrooms available. 
If you look at the [Attributes Edit page](https://www.geocaching.com/hide/attributes.aspx?WptID=5621484) for your cache, you'll find boat under Equipment as either Required, or Not Requred.  
"
257,13,0,"benchmarking","http://www.geocaching.com/mark/"
258,13,6,"bookmark lists ","http://www.geocaching.com/bookmarks/"
264,12,3,"review queue US ","http://www.geocaching.com/admin/queue.aspx?countryid=2"
265,12,4,"review queue OZ ","http://www.geocaching.com/admin/queue.aspx?countryid=3"
266,12,5,"review queue Canada","http://www.geocaching.com/admin/queue.aspx?countryid=5"
267,12,6,"review queue Germany ","http://www.geocaching.com/admin/queue.aspx?countryid=79"
268,12,7,"review queue UK ","http://www.geocaching.com/admin/queue.aspx?countryid=11 "
269,12,8,"old search default page ","https://www.geocaching.com/seek/default.aspx"
270,11,5,"cache not on app ","Hello Username 

Your cache, GC Code, has a terrain/difficulty rating of (X).

It will not show up on the free intro app for a Basic Member.

2.1. What Geocaches am I Able to Find on the free Geocaching Intro app?
http://support.groundspeak.com/index.php?pg=kb.page&id=513

[quote][b]If you are a Basic Member, you will see:[/b]

    All geocaches types up to level 1.5 Difficulty and level 1.5 Terrain (D 1.5/T 1.5) [/quote]

The app download page also explains this, thought not very clearly.
It says, ""Find all easy Traditional geocaches"" - without explaining that means D/T of 1 and 1.5 only.

Regards,
palmetto 
Geocaching.com Volunteer Cache Reviewer"
271,12,9,"hide by owner ","http://www.geocaching.com/seek/nearest.aspx?u=Isonzo+Karst "
272,1,15,"litmus check ","http://admin.geocaching.com/litmustest/latlng?lat=[]&lng=[]




"
273,15,11,"bulk ACTIONS in GSAK ","http://forums.groundspeak.com/REV/index.php?showtopic=21754&view=findpost&p=282818"
